text,label
"BDO ALERT: Unauthorized login, confirm details 58",1
I'll call you later 188,0
Final warning: account will be closed 460,1
"BDO ALERT: Unauthorized login, confirm details 291",1
Click here to secure your PayPal account 333,1
Good morning 474,0
Good morning 466,0
See you bukas 158,0
I'll call you later 374,0
Let's eat mamaya 5,0
Maya: Update your info to avoid suspension 31,1
I'll call you later 247,0
URGENT: Verify your Metrobank account now 241,1
Anong oras tayo magkikita 70,0
"BDO ALERT: Unauthorized login, confirm details 391",1
Happy birthday! 273,0
"GCash: Suspicious activity detected, verify now 232",1
Salamat sa tulong 17,0
Maya: Update your info to avoid suspension 100,1
Nanalo ka ng ₱5000! I-claim ngayon 339,1
Hello kumusta ka 122,0
See you bukas 152,0
"BDO ALERT: Unauthorized login, confirm details 420",1
"GCash: Suspicious activity detected, verify now 67",1
Happy birthday! 297,0
See you bukas 26,0
Hello kumusta ka 3,0
Final warning: account will be closed 418,1
Good morning 418,0
Hello kumusta ka 80,0
Meeting at 3 PM 338,0
"GCash: Suspicious activity detected, verify now 476",1
Good morning 454,0
URGENT: Verify your Metrobank account now 129,1
"Pakicheck ang iyong account, may problema 202",1
Final warning: account will be closed 427,1
Let's eat mamaya 422,0
I'll call you later 54,0
"GCash: Suspicious activity detected, verify now 290",1
"BDO ALERT: Unauthorized login, confirm details 385",1
Let's eat mamaya 170,0
Maya: Update your info to avoid suspension 493,1
"GCash: Suspicious activity detected, verify now 252",1
URGENT: Verify your GCash account now 27,1
URGENT: Verify your BDO account now 22,1
Punta tayo sa mall 366,0
Punta tayo sa mall 369,0
Punta tayo sa mall 46,0
Anong oras tayo magkikita 287,0
Happy birthday! 180,0
Click here to secure your Metrobank account 205,1
Hello kumusta ka 484,0
Meeting at 3 PM 238,0
"Ang iyong BDO account ay naka-lock, i-verify agad 230",1
Hello kumusta ka 55,0
Hello kumusta ka 463,0
"BDO ALERT: Unauthorized login, confirm details 182",1
Anong oras tayo magkikita 96,0
Maya: Update your info to avoid suspension 191,1
Salamat sa tulong 447,0
URGENT: Verify your GCash account now 235,1
"BDO ALERT: Unauthorized login, confirm details 357",1
Click here to secure your Metrobank account 139,1
Final warning: account will be closed 439,1
See you bukas 451,0
I'll call you later 392,0
Anong oras tayo magkikita 192,0
Good morning 499,0
"Pakicheck ang iyong account, may problema 294",1
Nanalo ka ng ₱5000! I-claim ngayon 388,1
See you bukas 401,0
Good morning 42,0
Hello kumusta ka 465,0
Happy birthday! 387,0
Punta tayo sa mall 257,0
"GCash: Suspicious activity detected, verify now 160",1
Security alert: confirm your identity now 192,1
Punta tayo sa mall 488,0
See you bukas 173,0
"BDO ALERT: Unauthorized login, confirm details 383",1
Meeting at 3 PM 62,0
"Pakicheck ang iyong account, may problema 187",1
Salamat sa tulong 281,0
Meeting at 3 PM 409,0
Anong oras tayo magkikita 221,0
Anong oras tayo magkikita 327,0
See you bukas 443,0
"Pakicheck ang iyong account, may problema 111",1
"GCash: Suspicious activity detected, verify now 163",1
"Pakicheck ang iyong account, may problema 492",1
Hello kumusta ka 280,0
Happy birthday! 27,0
"GCash: Suspicious activity detected, verify now 343",1
Salamat sa tulong 211,0
Salamat sa tulong 415,0
Security alert: confirm your identity now 224,1
Let's eat mamaya 389,0
Anong oras tayo magkikita 289,0
Punta tayo sa mall 419,0
"Pakicheck ang iyong account, may problema 19",1
Meeting at 3 PM 207,0
"Ang iyong Metrobank account ay naka-lock, i-verify agad 498",1
Punta tayo sa mall 456,0
Salamat sa tulong 292,0
URGENT: Verify your Maya account now 307,1
I'll call you later 436,0
"Ang iyong Metrobank account ay naka-lock, i-verify agad 262",1
Meeting at 3 PM 393,0
"Pakicheck ang iyong account, may problema 348",1
Good morning 140,0
Anong oras tayo magkikita 364,0
Happy birthday! 51,0
Nanalo ka ng ₱5000! I-claim ngayon 324,1
"GCash: Suspicious activity detected, verify now 156",1
URGENT: Verify your Metrobank account now 469,1
Good morning 495,0
Maya: Update your info to avoid suspension 124,1
Happy birthday! 39,0
Click here to secure your PayPal account 370,1
Salamat sa tulong 310,0
Let's eat mamaya 222,0
See you bukas 267,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 449",1
Happy birthday! 160,0
Final warning: account will be closed 382,1
Final warning: account will be closed 228,1
Click here to secure your BDO account 484,1
Salamat sa tulong 41,0
See you bukas 496,0
Salamat sa tulong 445,0
Maya: Update your info to avoid suspension 122,1
Maya: Update your info to avoid suspension 281,1
Security alert: confirm your identity now 465,1
Final warning: account will be closed 227,1
Anong oras tayo magkikita 154,0
Anong oras tayo magkikita 333,0
Happy birthday! 360,0
Let's eat mamaya 20,0
See you bukas 444,0
Maya: Update your info to avoid suspension 155,1
Maya: Update your info to avoid suspension 258,1
Meeting at 3 PM 441,0
"BDO ALERT: Unauthorized login, confirm details 393",1
See you bukas 153,0
Let's eat mamaya 316,0
Meeting at 3 PM 250,0
See you bukas 367,0
URGENT: Verify your Maya account now 259,1
Meeting at 3 PM 265,0
See you bukas 25,0
Salamat sa tulong 242,0
Good morning 368,0
Hello kumusta ka 203,0
Punta tayo sa mall 467,0
Nanalo ka ng ₱5000! I-claim ngayon 66,1
Security alert: confirm your identity now 128,1
Meeting at 3 PM 323,0
Click here to secure your PayPal account 499,1
URGENT: Verify your GCash account now 75,1
"Pakicheck ang iyong account, may problema 10",1
Happy birthday! 336,0
Happy birthday! 246,0
Meeting at 3 PM 38,0
Happy birthday! 473,0
URGENT: Verify your PayPal account now 337,1
Salamat sa tulong 81,0
Final warning: account will be closed 168,1
Good morning 481,0
I'll call you later 309,0
Happy birthday! 225,0
Happy birthday! 116,0
URGENT: Verify your GCash account now 101,1
"BDO ALERT: Unauthorized login, confirm details 488",1
Anong oras tayo magkikita 353,0
Punta tayo sa mall 452,0
Hello kumusta ka 226,0
"Pakicheck ang iyong account, may problema 395",1
Salamat sa tulong 340,0
Happy birthday! 370,0
Happy birthday! 299,0
"BDO ALERT: Unauthorized login, confirm details 302",1
I'll call you later 14,0
Punta tayo sa mall 343,0
Anong oras tayo magkikita 1,0
"Pakicheck ang iyong account, may problema 433",1
Meeting at 3 PM 69,0
Let's eat mamaya 223,0
"Ang iyong BDO account ay naka-lock, i-verify agad 137",1
"Ang iyong PayPal account ay naka-lock, i-verify agad 197",1
See you bukas 102,0
Click here to secure your PayPal account 218,1
Nanalo ka ng ₱5000! I-claim ngayon 123,1
URGENT: Verify your GCash account now 146,1
"Ang iyong BDO account ay naka-lock, i-verify agad 70",1
Security alert: confirm your identity now 304,1
"GCash: Suspicious activity detected, verify now 193",1
Nanalo ka ng ₱5000! I-claim ngayon 231,1
"BDO ALERT: Unauthorized login, confirm details 5",1
"Ang iyong PayPal account ay naka-lock, i-verify agad 18",1
Punta tayo sa mall 337,0
Happy birthday! 213,0
"BDO ALERT: Unauthorized login, confirm details 345",1
"GCash: Suspicious activity detected, verify now 274",1
Punta tayo sa mall 83,0
Meeting at 3 PM 85,0
"Ang iyong BDO account ay naka-lock, i-verify agad 68",1
Final warning: account will be closed 404,1
Maya: Update your info to avoid suspension 384,1
Click here to secure your Maya account 371,1
"GCash: Suspicious activity detected, verify now 131",1
"Pakicheck ang iyong account, may problema 377",1
Salamat sa tulong 84,0
Let's eat mamaya 271,0
Salamat sa tulong 93,0
See you bukas 184,0
Maya: Update your info to avoid suspension 11,1
I'll call you later 77,0
Meeting at 3 PM 12,0
Salamat sa tulong 414,0
"Pakicheck ang iyong account, may problema 248",1
Punta tayo sa mall 431,0
Good morning 88,0
Click here to secure your GCash account 208,1
Security alert: confirm your identity now 80,1
URGENT: Verify your Metrobank account now 438,1
Happy birthday! 151,0
Meeting at 3 PM 314,0
"BDO ALERT: Unauthorized login, confirm details 485",1
Meeting at 3 PM 276,0
"GCash: Suspicious activity detected, verify now 174",1
Good morning 56,0
"BDO ALERT: Unauthorized login, confirm details 264",1
Let's eat mamaya 135,0
"Pakicheck ang iyong account, may problema 362",1
See you bukas 65,0
I'll call you later 322,0
See you bukas 18,0
"Pakicheck ang iyong account, may problema 85",1
Maya: Update your info to avoid suspension 497,1
Let's eat mamaya 162,0
Meeting at 3 PM 169,0
I'll call you later 19,0
Click here to secure your BDO account 116,1
Punta tayo sa mall 217,0
URGENT: Verify your Maya account now 453,1
URGENT: Verify your Maya account now 494,1
I'll call you later 277,0
Security alert: confirm your identity now 448,1
Hello kumusta ka 49,0
Maya: Update your info to avoid suspension 154,1
URGENT: Verify your BDO account now 104,1
"Pakicheck ang iyong account, may problema 342",1
"Ang iyong GCash account ay naka-lock, i-verify agad 93",1
Anong oras tayo magkikita 110,0
Good morning 128,0
Security alert: confirm your identity now 55,1
"GCash: Suspicious activity detected, verify now 98",1
URGENT: Verify your PayPal account now 130,1
Nanalo ka ng ₱5000! I-claim ngayon 239,1
Meeting at 3 PM 306,0
Punta tayo sa mall 384,0
Anong oras tayo magkikita 187,0
"GCash: Suspicious activity detected, verify now 288",1
Meeting at 3 PM 9,0
"Ang iyong BDO account ay naka-lock, i-verify agad 144",1
Good morning 262,0
Maya: Update your info to avoid suspension 132,1
Happy birthday! 345,0
Final warning: account will be closed 322,1
Salamat sa tulong 202,0
Punta tayo sa mall 136,0
Punta tayo sa mall 132,0
"Pakicheck ang iyong account, may problema 76",1
Nanalo ka ng ₱5000! I-claim ngayon 478,1
"Pakicheck ang iyong account, may problema 9",1
Happy birthday! 161,0
Meeting at 3 PM 407,0
Salamat sa tulong 145,0
URGENT: Verify your BDO account now 103,1
Good morning 339,0
Let's eat mamaya 432,0
URGENT: Verify your BDO account now 368,1
Anong oras tayo magkikita 380,0
URGENT: Verify your Maya account now 65,1
"Pakicheck ang iyong account, may problema 194",1
"GCash: Suspicious activity detected, verify now 84",1
Good morning 269,0
"BDO ALERT: Unauthorized login, confirm details 309",1
Happy birthday! 204,0
Hello kumusta ka 191,0
Click here to secure your Maya account 126,1
Punta tayo sa mall 219,0
Happy birthday! 437,0
Nanalo ka ng ₱5000! I-claim ngayon 428,1
Hello kumusta ka 254,0
Nanalo ka ng ₱5000! I-claim ngayon 52,1
Salamat sa tulong 59,0
Happy birthday! 195,0
Click here to secure your PayPal account 442,1
Punta tayo sa mall 321,0
Punta tayo sa mall 391,0
Hello kumusta ka 159,0
Happy birthday! 233,0
See you bukas 236,0
"BDO ALERT: Unauthorized login, confirm details 429",1
Good morning 417,0
Meeting at 3 PM 52,0
See you bukas 68,0
Anong oras tayo magkikita 256,0
Let's eat mamaya 112,0
"Ang iyong Maya account ay naka-lock, i-verify agad 166",1
Final warning: account will be closed 351,1
Final warning: account will be closed 79,1
Happy birthday! 60,0
Meeting at 3 PM 363,0
Anong oras tayo magkikita 396,0
Salamat sa tulong 301,0
"BDO ALERT: Unauthorized login, confirm details 216",1
See you bukas 150,0
Hello kumusta ka 259,0
Hello kumusta ka 175,0
Punta tayo sa mall 144,0
Punta tayo sa mall 61,0
Hello kumusta ka 268,0
See you bukas 406,0
Hello kumusta ka 172,0
"Pakicheck ang iyong account, may problema 112",1
Good morning 45,0
Let's eat mamaya 95,0
"BDO ALERT: Unauthorized login, confirm details 2",1
URGENT: Verify your BDO account now 432,1
I'll call you later 313,0
Nanalo ka ng ₱5000! I-claim ngayon 59,1
"Pakicheck ang iyong account, may problema 374",1
Let's eat mamaya 270,0
Security alert: confirm your identity now 167,1
Security alert: confirm your identity now 49,1
Maya: Update your info to avoid suspension 315,1
Happy birthday! 355,0
"BDO ALERT: Unauthorized login, confirm details 246",1
Good morning 198,0
Security alert: confirm your identity now 44,1
"BDO ALERT: Unauthorized login, confirm details 86",1
Hello kumusta ka 239,0
Meeting at 3 PM 105,0
Salamat sa tulong 435,0
Security alert: confirm your identity now 352,1
URGENT: Verify your GCash account now 69,1
Salamat sa tulong 476,0
"Ang iyong GCash account ay naka-lock, i-verify agad 467",1
Happy birthday! 459,0
Let's eat mamaya 304,0
Nanalo ka ng ₱5000! I-claim ngayon 273,1
"Ang iyong GCash account ay naka-lock, i-verify agad 206",1
"Ang iyong Maya account ay naka-lock, i-verify agad 188",1
Click here to secure your Maya account 392,1
I'll call you later 375,0
Anong oras tayo magkikita 106,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 179",1
"Ang iyong GCash account ay naka-lock, i-verify agad 405",1
Click here to secure your Maya account 320,1
Nanalo ka ng ₱5000! I-claim ngayon 416,1
"BDO ALERT: Unauthorized login, confirm details 280",1
Security alert: confirm your identity now 421,1
"BDO ALERT: Unauthorized login, confirm details 255",1
Click here to secure your Metrobank account 42,1
"GCash: Suspicious activity detected, verify now 74",1
Maya: Update your info to avoid suspension 334,1
Security alert: confirm your identity now 119,1
"Pakicheck ang iyong account, may problema 272",1
Final warning: account will be closed 278,1
Meeting at 3 PM 348,0
Hello kumusta ka 197,0
Security alert: confirm your identity now 64,1
Let's eat mamaya 448,0
Punta tayo sa mall 350,0
Security alert: confirm your identity now 125,1
Anong oras tayo magkikita 349,0
"GCash: Suspicious activity detected, verify now 276",1
"Ang iyong Metrobank account ay naka-lock, i-verify agad 47",1
Punta tayo sa mall 97,0
Hello kumusta ka 99,0
Nanalo ka ng ₱5000! I-claim ngayon 63,1
"BDO ALERT: Unauthorized login, confirm details 89",1
Security alert: confirm your identity now 300,1
Good morning 115,0
Final warning: account will be closed 110,1
Nanalo ka ng ₱5000! I-claim ngayon 183,1
Happy birthday! 36,0
Good morning 308,0
"GCash: Suspicious activity detected, verify now 455",1
Happy birthday! 248,0
Punta tayo sa mall 412,0
"GCash: Suspicious activity detected, verify now 118",1
Happy birthday! 103,0
"GCash: Suspicious activity detected, verify now 456",1
Hello kumusta ka 249,0
Meeting at 3 PM 347,0
"Ang iyong Maya account ay naka-lock, i-verify agad 12",1
Punta tayo sa mall 216,0
Punta tayo sa mall 346,0
I'll call you later 331,0
Anong oras tayo magkikita 212,0
See you bukas 461,0
Salamat sa tulong 92,0
I'll call you later 404,0
Hello kumusta ka 32,0
See you bukas 440,0
"Pakicheck ang iyong account, may problema 30",1
Final warning: account will be closed 321,1
Good morning 137,0
See you bukas 21,0
Nanalo ka ng ₱5000! I-claim ngayon 289,1
"Pakicheck ang iyong account, may problema 177",1
"Ang iyong Metrobank account ay naka-lock, i-verify agad 364",1
URGENT: Verify your GCash account now 355,1
Punta tayo sa mall 16,0
Final warning: account will be closed 360,1
Happy birthday! 78,0
Maya: Update your info to avoid suspension 454,1
Security alert: confirm your identity now 165,1
Meeting at 3 PM 460,0
Click here to secure your GCash account 443,1
"Ang iyong BDO account ay naka-lock, i-verify agad 33",1
URGENT: Verify your Metrobank account now 214,1
"Pakicheck ang iyong account, may problema 61",1
Maya: Update your info to avoid suspension 96,1
Good morning 148,0
Happy birthday! 57,0
Final warning: account will be closed 275,1
Maya: Update your info to avoid suspension 361,1
Happy birthday! 385,0
Anong oras tayo magkikita 245,0
URGENT: Verify your Maya account now 472,1
"GCash: Suspicious activity detected, verify now 295",1
Punta tayo sa mall 104,0
Happy birthday! 67,0
Maya: Update your info to avoid suspension 365,1
Punta tayo sa mall 485,0
"Pakicheck ang iyong account, may problema 6",1
Meeting at 3 PM 357,0
"BDO ALERT: Unauthorized login, confirm details 260",1
Nanalo ka ng ₱5000! I-claim ngayon 34,1
Hello kumusta ka 252,0
Click here to secure your Maya account 256,1
Nanalo ka ng ₱5000! I-claim ngayon 402,1
Salamat sa tulong 457,0
"Pakicheck ang iyong account, may problema 407",1
Happy birthday! 34,0
Final warning: account will be closed 249,1
Hello kumusta ka 37,0
Good morning 410,0
Click here to secure your Metrobank account 327,1
Click here to secure your Metrobank account 406,1
URGENT: Verify your Metrobank account now 213,1
Meeting at 3 PM 134,0
Click here to secure your Maya account 271,1
Hello kumusta ka 303,0
Hello kumusta ka 491,0
Nanalo ka ng ₱5000! I-claim ngayon 236,1
Anong oras tayo magkikita 199,0
Meeting at 3 PM 493,0
See you bukas 117,0
See you bukas 383,0
Click here to secure your Maya account 181,1
Meeting at 3 PM 23,0
Click here to secure your BDO account 305,1
Let's eat mamaya 174,0
"GCash: Suspicious activity detected, verify now 471",1
Click here to secure your Metrobank account 380,1
Happy birthday! 75,0
Nanalo ka ng ₱5000! I-claim ngayon 164,1
Security alert: confirm your identity now 373,1
Happy birthday! 266,0
"GCash: Suspicious activity detected, verify now 269",1
Click here to secure your BDO account 319,1
Happy birthday! 318,0
Salamat sa tulong 260,0
Happy birthday! 317,0
URGENT: Verify your Maya account now 210,1
Click here to secure your Metrobank account 209,1
Click here to secure your GCash account 286,1
See you bukas 2,0
Salamat sa tulong 475,0
Hello kumusta ka 133,0
Security alert: confirm your identity now 73,1
"Pakicheck ang iyong account, may problema 172",1
Punta tayo sa mall 214,0
Meeting at 3 PM 179,0
Punta tayo sa mall 286,0
I'll call you later 421,0
URGENT: Verify your PayPal account now 114,1
Final warning: account will be closed 417,1
Hello kumusta ka 44,0
Punta tayo sa mall 231,0
URGENT: Verify your Metrobank account now 176,1
Salamat sa tulong 108,0
Maya: Update your info to avoid suspension 91,1
Nanalo ka ng ₱5000! I-claim ngayon 99,1
Nanalo ka ng ₱5000! I-claim ngayon 90,1
Happy birthday! 171,0
Anong oras tayo magkikita 201,0
Let's eat mamaya 263,0
"Ang iyong Maya account ay naka-lock, i-verify agad 162",1
"BDO ALERT: Unauthorized login, confirm details 423",1
"Pakicheck ang iyong account, may problema 157",1
Hello kumusta ka 228,0
"Ang iyong BDO account ay naka-lock, i-verify agad 414",1
Click here to secure your GCash account 329,1
Anong oras tayo magkikita 244,0
Salamat sa tulong 381,0
Happy birthday! 126,0
I'll call you later 94,0
Click here to secure your Metrobank account 21,1
"Ang iyong Metrobank account ay naka-lock, i-verify agad 444",1
"GCash: Suspicious activity detected, verify now 94",1
I'll call you later 224,0
URGENT: Verify your BDO account now 400,1
Maya: Update your info to avoid suspension 109,1
Click here to secure your GCash account 102,1
Security alert: confirm your identity now 220,1
Maya: Update your info to avoid suspension 201,1
I'll call you later 352,0
URGENT: Verify your Maya account now 200,1
"GCash: Suspicious activity detected, verify now 56",1
Nanalo ka ng ₱5000! I-claim ngayon 301,1
"Pakicheck ang iyong account, may problema 482",1
Anong oras tayo magkikita 288,0
Good morning 427,0
Anong oras tayo magkikita 283,0
Anong oras tayo magkikita 411,0
Nanalo ka ng ₱5000! I-claim ngayon 452,1
"Pakicheck ang iyong account, may problema 464",1
Meeting at 3 PM 6,0
Hello kumusta ka 253,0
Hello kumusta ka 40,0
Anong oras tayo magkikita 402,0
Punta tayo sa mall 274,0
Punta tayo sa mall 176,0
I'll call you later 235,0
"GCash: Suspicious activity detected, verify now 403",1
"GCash: Suspicious activity detected, verify now 332",1
"Pakicheck ang iyong account, may problema 136",1
Maya: Update your info to avoid suspension 297,1
Click here to secure your Metrobank account 470,1
See you bukas 185,0
Good morning 155,0
"BDO ALERT: Unauthorized login, confirm details 92",1
"Pakicheck ang iyong account, may problema 219",1
Maya: Update your info to avoid suspension 4,1
Anong oras tayo magkikita 255,0
Nanalo ka ng ₱5000! I-claim ngayon 40,1
Salamat sa tulong 100,0
Nanalo ka ng ₱5000! I-claim ngayon 107,1
Security alert: confirm your identity now 466,1
"GCash: Suspicious activity detected, verify now 330",1
"Pakicheck ang iyong account, may problema 207",1
Punta tayo sa mall 285,0
Nanalo ka ng ₱5000! I-claim ngayon 158,1
Anong oras tayo magkikita 398,0
Good morning 138,0
"Pakicheck ang iyong account, may problema 82",1
Hello kumusta ka 416,0
Meeting at 3 PM 372,0
Security alert: confirm your identity now 279,1
Final warning: account will be closed 389,1
I'll call you later 458,0
Salamat sa tulong 58,0
"Ang iyong Metrobank account ay naka-lock, i-verify agad 440",1
Click here to secure your Maya account 375,1
Click here to secure your Metrobank account 17,1
Happy birthday! 31,0
Happy birthday! 237,0
Hello kumusta ka 210,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 446",1
Punta tayo sa mall 205,0
Click here to secure your BDO account 233,1
"BDO ALERT: Unauthorized login, confirm details 296",1
Maya: Update your info to avoid suspension 127,1
Maya: Update your info to avoid suspension 184,1
Security alert: confirm your identity now 338,1
"GCash: Suspicious activity detected, verify now 140",1
Anong oras tayo magkikita 365,0
See you bukas 28,0
Maya: Update your info to avoid suspension 495,1
Let's eat mamaya 284,0
"Pakicheck ang iyong account, may problema 270",1
Hello kumusta ka 378,0
URGENT: Verify your BDO account now 283,1
Anong oras tayo magkikita 143,0
Let's eat mamaya 450,0
URGENT: Verify your BDO account now 325,1
Maya: Update your info to avoid suspension 199,1
Security alert: confirm your identity now 225,1
Salamat sa tulong 98,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 53",1
Hello kumusta ka 400,0
"Ang iyong Maya account ay naka-lock, i-verify agad 247",1
Nanalo ka ng ₱5000! I-claim ngayon 447,1
See you bukas 168,0
See you bukas 300,0
Meeting at 3 PM 472,0
Anong oras tayo magkikita 330,0
Maya: Update your info to avoid suspension 45,1
Salamat sa tulong 101,0
Final warning: account will be closed 265,1
Maya: Update your info to avoid suspension 451,1
Click here to secure your Metrobank account 326,1
Good morning 497,0
Anong oras tayo magkikita 215,0
See you bukas 196,0
"Ang iyong GCash account ay naka-lock, i-verify agad 29",1
Nanalo ka ng ₱5000! I-claim ngayon 401,1
Security alert: confirm your identity now 180,1
"BDO ALERT: Unauthorized login, confirm details 16",1
"Ang iyong Metrobank account ay naka-lock, i-verify agad 250",1
Hello kumusta ka 395,0
I'll call you later 125,0
"Ang iyong PayPal account ay naka-lock, i-verify agad 268",1
Happy birthday! 129,0
"Pakicheck ang iyong account, may problema 237",1
"GCash: Suspicious activity detected, verify now 310",1
"BDO ALERT: Unauthorized login, confirm details 316",1
Final warning: account will be closed 413,1
Happy birthday! 29,0
I'll call you later 482,0
Salamat sa tulong 315,0
See you bukas 33,0
Anong oras tayo magkikita 182,0
Hello kumusta ka 332,0
Let's eat mamaya 10,0
Happy birthday! 405,0
Punta tayo sa mall 446,0
See you bukas 79,0
Nanalo ka ng ₱5000! I-claim ngayon 229,1
"Pakicheck ang iyong account, may problema 115",1
"Pakicheck ang iyong account, may problema 261",1
Security alert: confirm your identity now 350,1
Good morning 420,0
Good morning 141,0
Maya: Update your info to avoid suspension 39,1
Nanalo ka ng ₱5000! I-claim ngayon 226,1
Nanalo ka ng ₱5000! I-claim ngayon 410,1
Security alert: confirm your identity now 245,1
See you bukas 329,0
Maya: Update your info to avoid suspension 336,1
I'll call you later 47,0
"Pakicheck ang iyong account, may problema 211",1
"Pakicheck ang iyong account, may problema 293",1
Salamat sa tulong 388,0
URGENT: Verify your Metrobank account now 397,1
Meeting at 3 PM 86,0
Punta tayo sa mall 111,0
See you bukas 220,0
I'll call you later 498,0
Punta tayo sa mall 4,0
Hello kumusta ka 181,0
Happy birthday! 278,0
Punta tayo sa mall 462,0
Maya: Update your info to avoid suspension 358,1
Click here to secure your Metrobank account 431,1
Hello kumusta ka 305,0
Hello kumusta ka 119,0
URGENT: Verify your BDO account now 71,1
Security alert: confirm your identity now 299,1
Good morning 449,0
Salamat sa tulong 439,0
"BDO ALERT: Unauthorized login, confirm details 242",1
Final warning: account will be closed 344,1
Good morning 390,0
Good morning 438,0
See you bukas 326,0
Click here to secure your PayPal account 24,1
Security alert: confirm your identity now 409,1
"Pakicheck ang iyong account, may problema 408",1
Nanalo ka ng ₱5000! I-claim ngayon 422,1
Hello kumusta ka 377,0
Security alert: confirm your identity now 135,1
Click here to secure your Metrobank account 457,1
Let's eat mamaya 63,0
Meeting at 3 PM 73,0
Security alert: confirm your identity now 459,1
Anong oras tayo magkikita 251,0
Anong oras tayo magkikita 234,0
Good morning 334,0
Good morning 243,0
Hello kumusta ka 232,0
Hello kumusta ka 164,0
"Pakicheck ang iyong account, may problema 196",1
Good morning 424,0
Hello kumusta ka 486,0
URGENT: Verify your BDO account now 398,1
"GCash: Suspicious activity detected, verify now 25",1
"Pakicheck ang iyong account, may problema 117",1
Anong oras tayo magkikita 291,0
Meeting at 3 PM 376,0
Click here to secure your Maya account 62,1
Hello kumusta ka 107,0
Happy birthday! 324,0
Nanalo ka ng ₱5000! I-claim ngayon 263,1
Nanalo ka ng ₱5000! I-claim ngayon 15,1
"Pakicheck ang iyong account, may problema 349",1
Meeting at 3 PM 478,0
"Ang iyong GCash account ay naka-lock, i-verify agad 72",1
Salamat sa tulong 490,0
URGENT: Verify your BDO account now 38,1
I'll call you later 295,0
See you bukas 113,0
"Pakicheck ang iyong account, may problema 170",1
Nanalo ka ng ₱5000! I-claim ngayon 134,1
"Pakicheck ang iyong account, may problema 341",1
"BDO ALERT: Unauthorized login, confirm details 142",1
URGENT: Verify your BDO account now 366,1
"Ang iyong Metrobank account ay naka-lock, i-verify agad 475",1
See you bukas 178,0
Security alert: confirm your identity now 54,1
Let's eat mamaya 434,0
Nanalo ka ng ₱5000! I-claim ngayon 41,1
Anong oras tayo magkikita 120,0
I'll call you later 397,0
Click here to secure your Maya account 152,1
Meeting at 3 PM 325,0
Anong oras tayo magkikita 468,0
Click here to secure your GCash account 153,1
Punta tayo sa mall 142,0
Maya: Update your info to avoid suspension 257,1
Hello kumusta ka 149,0
"BDO ALERT: Unauthorized login, confirm details 238",1
URGENT: Verify your GCash account now 378,1
Maya: Update your info to avoid suspension 347,1
"BDO ALERT: Unauthorized login, confirm details 190",1
Salamat sa tulong 121,0
Click here to secure your Metrobank account 87,1
See you bukas 131,0
"GCash: Suspicious activity detected, verify now 419",1
Final warning: account will be closed 287,1
Salamat sa tulong 282,0
"Pakicheck ang iyong account, may problema 198",1
"Pakicheck ang iyong account, may problema 78",1
Let's eat mamaya 43,0
"GCash: Suspicious activity detected, verify now 353",1
URGENT: Verify your BDO account now 105,1
